source_path,straightened_path,foreground_area,bbox_height,bbox_width,valid_profile_fraction,global_degree,upper_degree,lower_degree,bend_row,s_score,output_height,output_width,canvas_size,resize_mode,white_threshold
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.11~A20.K_1L.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.11~A20.K_1L__7c277ab496.png,9645,256,54,0.7167195677757263,0.0,-15.0,10.0,127,0.2058157776904992,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.11~A20.K_1R.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.11~A20.K_1R__ccbf67b773.png,9578,286,76,0.4620833396911621,65.0,-65.0,-90.0,59,0.17531699125470881,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.11~A21.K_1L.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.11~A21.K_1L__f43d18c8b5.png,11070,264,64,0.6810958981513977,0.0,-15.0,20.0,131,0.15178326472353482,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.11~A21.K_1R.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.11~A21.K_1R__07c4750feb.png,10679,281,51,0.7762345671653748,160.0,20.0,20.0,141,0.09620845210942112,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.11~A30.K_1L.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.11~A30.K_1L__50e74f9a72.png,8586,236,70,0.5477153658866882,160.0,45.0,-20.0,88,0.12641740107295787,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.11~A30.K_1R.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.11~A30.K_1R__b3d093f4d5.png,8046,263,50,0.6360234022140503,55.0,-90.0,-90.0,49,0.17638187420292478,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.12~A1.K_1L.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.12~A1.K_1L__a4dd4516fb.png,9674,228,74,0.5983161330223083,5.0,-70.0,85.0,73,0.10462635995282588,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.12~A1.K_1R.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.12~A1.K_1R__94c27073a2.png,9646,226,59,0.754444420337677,10.0,0.0,-15.0,108,0.12468692990638723,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.12~A21.K_1L.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.12~A21.K_1L__3df888ed83.png,7820,291,44,0.6288148164749146,0.0,0.0,5.0,157,0.16728021629261114,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.12~A21.K_1R.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.12~A21.K_1R__a306cd35cb.png,7250,267,45,0.6364706158638,0.0,35.0,-30.0,121,0.11526435623682704,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.12~A41.K_1L.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.12~A41.K_1L__493630e088.png,10389,239,62,0.7302137017250061,155.0,25.0,25.0,117,0.1480164990159521,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.12~A41.K_1R.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.12~A41.K_1R__3d3961664a.png,10278,217,61,0.8051587343215942,10.0,-10.0,-10.0,102,0.1543996486254493,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.12~A5.K_1L.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.12~A5.K_1L__805fda1c3b.png,9745,283,46,0.7776190638542175,175.0,5.0,5.0,139,0.11638359106984775,300,0,0,height_only,0.9980392156862745
/data5/chensx/MyProject/UAE/data/arrangement_merged/chr_01/165070.12~A5.K_1R.png,outputs/preprocess/straight_pair_v2_legacy/images/chr_01/165070.12~A5.K_1R__a716d9e4fa.png,8664,249,50,0.7289999723434448,5.0,15.0,-20.0,119,0.1481889240825439,300,0,0,height_only,0.9980392156862745
